num,A,Lat,Lng,B,C,D,E,F
1,1423137600.84,34.63146064,127.56453478,37.318133130,289.674744636,1.037823678,0.492826578,5.06
2,1423147600.32,34.63152027,127.56433934,36.922089374,289.937301016,0.526448572,0.255255839,5.06
3,1423157600.81,34.63157724,127.56414671,36.040641755,289.336096513,-0.795494944,0.324507341,5.05
4,1423167600.48,34.63163242,127.56395644,35.935795084,288.887624642,-1.062956242,0.176098489,5.04
5,1423177600.74,34.63168577,127.56376605,35.896060943,288.087774311,-1.396757630,0.268322296,5.03
6,1423187600.38,34.63173615,127.56357522,35.651850026,287.175668839,-1.762047299,0.308698618,5.01
7,1423197600.79,34.63178360,127.56338357,35.486072976,285.827098579,-1.661617005,0.127982382,4.99
8,1423207600.43,34.63182555,127.56319088,35.509567914,283.505517121,-1.814083718,0.201047066,4.95
9,1423217600.74,34.63186172,127.56299453,36.128785775,281.498992417,-2.005685167,0.355754546,4.91
10,1423227600.41,34.63189249,127.56279304,36.946574236,278.862510916,-1.814209957,0.381715266,4.87
11,1423237600.81,34.63191605,127.56258560,37.591541244,276.855674860,-2.088324989,0.344160097,4.83
12,1423247600.44,34.63193424,127.56237461,37.958873496,274.946905902,-1.959686850,0.526886945,4.80
13,1423257600.95,34.63194755,127.56216182,38.049709220,273.553232943,-2.016401478,0.773347948,4.77
14,1423267600.59,34.63195573,127.56194759,38.243370983,271.402602745,-1.778572314,0.502986377,4.74
15,1423277600.84,34.63195692,127.56173207,38.470860711,269.178635081,-1.716995946,0.564325553,4.70
16,1423287600.67,34.63195108,127.56151537,38.842560493,267.020960904,-2.018362523,0.770870416,4.66
17,1423297600.87,34.63193905,127.56129633,39.343777188,265.049028217,-1.953478842,0.835266148,4.63
18,1423307600.53,34.63191959,127.56107431,40.118876566,262.411616194,-1.692886540,1.109208975,4.58
19,1423317600.92,34.63189064,127.56084942,40.978238127,259.560666187,-1.908024486,0.952607691,4.53
20,1423327600.46,34.63185258,127.56062204,41.820114739,257.576072598,-2.117171272,0.707223390,4.50
21,1423337600.99,34.63180797,127.56039153,42.562361245,256.136596487,-1.839103299,0.942844565,4.47
22,1423347600.57,34.63175771,127.56015809,43.447683286,253.980912438,-0.904815817,0.897610868,4.43
23,1423357600.86,34.63169780,127.55992387,43.914108044,251.383000137,-0.587071908,0.946259023,4.39
24,1423367600.41,34.63163084,127.55968906,44.706028715,250.210461439,-0.170324623,0.770823486,4.37
25,1423377600.96,34.63156098,127.55945346,44.214770583,249.978363821,0.235032653,0.564719953,4.36
26,1423387600.65,34.63149158,127.55922097,44.008165656,249.814998260,0.980888426,0.830365991,4.36
27,1423397600.83,34.63142200,127.55898899,43.727757630,249.901930041,1.290333312,0.642854611,4.36
28,1423407600.50,34.63135332,127.55875775,43.832203882,250.225138450,1.283159072,0.739659447,4.37
29,1423417600.86,34.63128542,127.55852538,43.905732620,250.031754484,1.473867594,0.746611916,4.36
30,1423427600.57,34.63121656,127.55829306,44.105808497,249.918330289,1.422357950,0.907541955,4.36
31,1423437600.82,34.63114557,127.55805876,44.814445786,249.329306066,1.376045313,0.975960055,4.35
32,1423447600.62,34.63107262,127.55782268,44.857576071,249.197077507,1.305050350,0.576560915,4.35
33,1423457600.95,34.63100063,127.55758910,43.913144073,249.662196470,1.247559727,0.627294855,4.36
34,1423467600.67,34.63093193,127.55736107,42.402497787,249.921517840,1.283676432,0.406432954,4.36
35,1423477600.85,34.63086759,127.55714261,40.199987306,250.400839908,1.330256636,0.189749936,4.37
36,1423487600.67,34.63080766,127.55693572,38.011168920,250.414825098,1.318543325,0.178307675,4.37
37,1423497600.81,34.63075077,127.55673868,36.803862045,250.478491156,1.462381124,0.096930222,4.37
38,1423507600.62,34.63069620,127.55654614,35.928613500,251.016484985,1.465426768,0.013562330,4.38
39,1423517600.84,34.63064237,127.55635701,35.409196293,250.479362322,1.601120063,-0.002260628,4.37
40,1423527600.66,34.63058833,127.55616993,35.191980271,250.741106844,1.295032852,-0.459159595,4.38
41,1423537600.90,34.63053467,127.55598146,35.412214264,250.925082614,1.443527739,-0.394695535,4.38
42,1423547600.56,34.63048124,127.55579390,35.011220888,250.894261705,1.390992230,-0.568073935,4.38
43,1423557610.01,34.63042846,127.55560756,34.969084235,250.878311524,1.355720316,-0.751736561,4.38
44,1423567600.59,34.63037558,127.55542117,35.021657727,250.822549087,1.381194668,-0.798582305,4.38
45,1423577600.85,34.63032210,127.55523546,34.946898073,250.177498068,1.366411928,-0.859068772,4.37
46,1423587600.84,34.63026743,127.55505048,35.016348472,249.994084491,1.383552587,-1.081016791,4.36
47,1423597600.62,34.63021025,127.55486583,35.168185019,248.662545698,1.403714654,-1.064889473,4.34
48,1424007600.77,34.63015033,127.55468207,35.078669193,248.158858366,1.193184183,-1.338332262,4.33
49,1424017600.84,34.63008949,127.55450090,34.685027950,247.979647160,0.978325127,-1.268649684,4.33
50,1424027600.75,34.63002943,127.55432157,34.313302214,248.073775152,1.149041656,-1.606675088,4.33
51,1424037600.89,34.62997090,127.55414334,34.193002348,248.545715627,1.141619907,-1.609561388,4.34
52,1424047600.70,34.62991357,127.55396417,34.249142533,248.978009004,1.111910030,-1.640631470,4.35
53,1424057600.85,34.62985736,127.55378364,34.478308087,249.097810409,1.225027323,-2.006779474,4.35
54,1424067600.77,34.62980119,127.55360153,34.799988900,249.579687808,1.203522956,-2.133072635,4.36
55,1424077600.59,34.62974631,127.55341756,35.031130595,250.040761333,1.302507456,-2.196342243,4.36
56,1424087600.81,34.62969208,127.55323185,35.116267768,250.453932899,1.441432742,-2.253297857,4.37
57,1424097600.89,34.62963828,127.55304595,35.102145594,250.449958162,1.415235356,-2.234136909,4.37
58,1424107600.59,34.62958350,127.55285970,35.441014750,249.956986608,1.325277758,-2.179435028,4.36
59,1424117600.84,34.62952764,127.55267120,35.973208279,250.278596249,1.200092287,-2.120617705,4.37
60,1424127600.66,34.62947137,127.55247984,36.447563552,249.993869505,1.323236091,-2.115320684,4.36
61,1424137600.82,34.62941336,127.55228654,36.914870714,249.680404773,1.312207209,-2.001474049,4.36
62,1424147600.68,34.62935374,127.55209129,37.303213826,249.358300789,1.331064145,-2.152839251,4.35
63,1424157600.98,34.62929326,127.55189343,37.898165572,249.816571833,1.306951905,-2.277943729,4.36
