num,A,Lat,Lng,B,C,D,E,F
1,1026027320.92,34.67806229,127.77781629,28.977852787,310.916571330,2.794581726,0.135575486,5.43
2,1026037320.42,34.67814994,127.77769439,28.437773233,310.612148124,3.598200997,-0.103348774,5.42
3,1026047320.83,34.67823534,127.77757497,27.777419766,310.797125436,3.154864302,-0.242084358,5.42
4,1026057320.37,34.67832009,127.77745955,27.235234307,311.863282358,2.200859415,-0.996043319,5.44
5,1026067320.77,34.67840696,127.77735024,26.930493430,315.493571845,3.252455396,-2.384239337,5.51
6,1026077320.32,34.67850045,127.77725140,26.878811610,320.927313220,2.849320836,-2.787240059,5.60
7,1026087320.77,34.67860151,127.77716361,26.868163439,326.173643811,3.235694741,-2.966715843,5.69
8,1026097320.34,34.67870899,127.77708566,27.137268905,329.392836339,3.177275578,-3.230574305,5.75
9,1026107320.63,34.67881849,127.77700998,27.375434612,329.371189897,3.799986520,-3.349117713,5.75
10,1026117320.66,34.67892779,127.77693098,27.681183951,328.720170023,3.513517861,-3.556686344,5.74
11,1026127320.46,34.67903787,127.77685006,27.995310568,329.116963739,3.592376106,-3.336792585,5.74
12,1026137320.77,34.67915014,127.77676998,28.278831108,329.453638659,3.218868888,-3.649222755,5.75
13,1026147320.45,34.67926435,127.77669021,28.573157391,329.597881499,2.957522001,-3.313757518,5.75
14,1026157320.98,34.67937974,127.77661020,28.719573455,329.921927837,3.470591627,-3.059408354,5.76
15,1026167320.45,34.67949643,127.77653089,28.968750676,330.986115477,4.241508991,-3.222583386,5.78
16,1026177320.91,34.67961578,127.77645510,29.150242306,333.074693171,3.673931364,-3.474053356,5.81
17,1026187320.53,34.67973684,127.77638425,28.832020666,334.581301965,3.938788014,-3.788518832,5.84
18,1026197320.84,34.67985914,127.77631821,28.651326166,336.890615292,3.186762232,-3.951007835,5.88
19,1026207320.35,34.67998119,127.77625991,27.914572440,339.730287265,3.519967758,-4.262047996,5.93
20,1026217320.88,34.68010314,127.77620960,27.375037901,342.036259942,3.113592834,-4.475539120,5.97
21,1026227320.38,34.68021887,127.77616798,24.177182926,344.074008427,2.615636528,-4.421669666,6.01
22,1026237320.95,34.68031747,127.77613661,19.729142907,345.387880113,2.514041867,-4.945184236,6.03
23,1026247320.48,34.68039579,127.77611287,15.552466270,345.790891614,2.342600422,-4.922089145,6.04
24,1026257320.86,34.68046338,127.77609037,15.494642844,344.683770111,2.127912828,-4.750293046,6.02
25,1026267320.50,34.68053189,127.77606723,15.802338663,344.582911257,2.493926666,-5.018492842,6.01
26,1026277320.93,34.68060335,127.77604239,16.176522524,342.843368499,2.271672878,-4.769502502,5.98
27,1026287320.64,34.68067572,127.77601250,16.338032148,340.168296528,1.641215963,-4.782597201,5.94
28,1026297320.34,34.68074947,127.77597982,16.446504833,339.330608939,0.592914059,-5.053659630,5.92
29,1026307320.68,34.68082332,127.77594867,16.474018788,341.905242847,-0.239386878,-4.879434632,5.97
30,1026317320.55,34.68089748,127.77592473,16.580937997,346.354909673,-0.200292094,-4.883337530,6.05
31,1026327320.86,34.68097380,127.77590289,17.041819922,346.452259827,0.287929245,-4.831169725,6.05
32,1026337320.50,34.68105231,127.77588013,17.542938365,345.823658736,0.141508903,-4.644403720,6.04
33,1026347320.78,34.68113251,127.77585572,17.939402932,345.068358325,-0.493145415,-4.386794741,6.02
34,1026357320.37,34.68121093,127.77582943,16.680690452,343.897038278,-0.879985827,-4.523788963,6.00
35,1026367320.76,34.68128047,127.77580458,14.770759057,343.291508409,-1.391418402,-4.433072121,5.99
36,1026377320.54,34.68134368,127.77578123,13.879640214,342.872921756,-1.500027759,-4.600578429,5.98
37,1026387320.66,34.68140336,127.77575800,13.428816028,342.080989120,-2.314315557,-2.538188090,5.97
38,1026397320.67,34.68146283,127.77573612,13.460501939,342.901827668,-1.512235430,-3.383619883,5.98
39,1026407320.56,34.68152356,127.77571559,13.683895717,344.950373472,-1.954039098,-3.375861800,6.02
40,1026417320.55,34.68158652,127.77569975,14.689922678,348.739386345,-1.271442520,-2.482092742,6.09
41,1026427320.79,34.68165270,127.77568749,14.942660103,351.108673150,-0.466878697,-3.196083088,6.13
42,1026437320.51,34.68172557,127.77567293,16.502166740,349.290888048,1.230243953,-3.606289684,6.10
43,1026447320.82,34.68180323,127.77565164,18.114593528,345.549941220,1.563485330,-3.005421481,6.03
44,1026457320.37,34.68188528,127.77562431,18.484450643,344.003897671,0.973120744,-3.356861528,6.00
45,1026467320.99,34.68196884,127.77559401,19.601774538,342.740300055,1.256508720,-2.918487717,5.98
46,1026477320.29,34.68205872,127.77556045,21.185495383,342.463310220,1.708938801,-2.642523120,5.98
47,1026487330.01,34.68215638,127.77552345,22.891392132,342.462515096,2.134498171,-2.572032932,5.98
