num,A,Lat,Lng,B,C,D,E,F
1,2107478290.02,35.13381616,126.90755728,21.731664638,264.281456026,1.980774194,-0.685135202,4.61
2,2107488290.18,35.13380692,126.90743982,20.376738589,264.416330860,2.265890935,-0.466803065,4.61
3,2107498280.90,35.13379788,126.90732776,19.633290826,264.165635138,2.342946184,-0.821354834,4.61
4,2107508290.18,35.13378891,126.90721967,19.040537676,264.272708379,2.103885818,-0.765848174,4.61
5,2107518280.93,35.13378056,126.90711405,18.688508462,263.877114334,2.292072857,-0.409294876,4.61
6,2107528290.30,35.13377192,126.90700886,18.749531531,263.683051367,2.198311776,-0.391859718,4.60
7,2107538280.99,35.13376330,126.90690267,18.809088251,263.761804018,2.241969286,-0.262789240,4.60
8,2107548290.16,35.13375500,126.90679530,19.311836176,264.113518876,2.586964499,-0.321978891,4.61
9,2107558290.20,35.13374633,126.90668459,19.935178720,264.355556761,2.341293458,-0.341861297,4.61
10,2107568280.87,35.13373762,126.90657114,20.298888666,264.339740615,2.167783595,-0.022158371,4.61
11,2107578290.21,35.13372910,126.90645470,20.983562008,264.353732718,2.327459678,-0.324204225,4.61
12,2107588280.78,35.13372028,126.90633525,21.343662624,264.625398592,1.543114457,-0.489776610,4.62
13,2107598290.23,35.13371235,126.90621401,21.731633124,264.451310223,1.838105007,-0.667715377,4.62
14,2108008290.01,35.13370296,126.90609114,21.967537206,264.175155390,1.940673729,-0.524309563,4.61
15,2108018290.19,35.13369313,126.90596521,22.741880238,264.190038751,2.189429738,-0.230198192,4.61
16,2108028280.89,35.13368313,126.90583635,22.950072009,264.672426415,1.712124666,-0.792994454,4.62
17,2108038290.16,35.13367378,126.90570956,22.377495512,264.564687930,1.320044572,-0.485154110,4.62
18,2108048290.05,35.13366415,126.90558410,22.210022244,264.296815446,1.614395388,-0.421525422,4.61
19,2108058280.98,35.13365428,126.90546080,21.612675401,264.389668077,0.993177257,-0.661388484,4.61
20,2108068290.31,35.13364493,126.90534174,20.890201422,264.229250869,1.083829844,-0.517089616,4.61
21,2108078290.03,35.13363525,126.90522653,19.887821794,263.944206649,0.748127275,-0.713716193,4.61
22,2108088290.31,35.13362563,126.90511551,19.398300662,263.552174856,0.410981909,-0.673948845,4.60
23,2108098290.07,35.13361670,126.90500821,18.989745676,263.878139224,1.256585332,-0.072702577,4.61
24,2108108280.91,35.13360871,126.90490165,19.248736862,264.706818466,1.545440976,-0.050243420,4.62
25,2108118290.06,35.13360106,126.90479238,19.891243890,264.823810304,1.875055348,-0.116209787,4.62
26,2108128290.17,35.13359291,126.90467862,20.714732756,264.834476735,2.328384535,-0.056591037,4.62
27,2108138280.98,35.13358441,126.90456041,21.472831024,264.885218299,2.351301436,-0.212253951,4.62
28,2108148290.32,35.13357617,126.90444008,21.395272146,265.288970699,2.059363280,-0.266044522,4.63
29,2108158280.95,35.13356920,126.90431906,21.582779325,266.796138073,1.806025603,-0.242523742,4.66
30,2108168290.38,35.13356504,126.90419697,21.926614786,268.165955283,1.738756759,-0.332421116,4.68
31,2108178280.92,35.13356406,126.90407444,21.425320232,270.042925765,1.649188270,-0.419365453,4.71
32,2108188290.43,35.13356599,126.90395694,19.847170026,271.679189002,1.118555321,-0.406112136,4.74
33,2108198280.90,35.13357043,126.90385349,17.086720576,273.530423071,0.598112558,-0.288293205,4.77
34,2108208290.48,35.13357607,126.90376324,14.931458575,273.738048642,0.396309323,-0.285649203,4.78
35,2108218280.90,35.13357938,126.90368616,12.861465366,272.566602049,0.539222396,-0.312515272,4.76
36,2108228290.49,35.13358068,126.90361582,12.261470383,270.230872896,0.881708343,-0.392627073,4.72
37,2108238280.91,35.13357980,126.90354841,11.673019880,268.131619932,1.043936566,-0.076031117,4.68
38,2108248290.36,35.13357748,126.90348374,11.031597319,266.357872147,1.453423904,-0.270013329,4.65
39,2108258280.94,35.13357395,126.90342176,10.689666628,265.306158690,2.016869322,-0.001041116,4.63
20210908,210747
