num,A,Lat,Lng,B,C,D,E,F
1,0910517220.44,34.58266412,127.73170562,11.150961949,123.940981760,-1.749704473,-4.394618009,2.16
2,0910527220.53,34.58263801,127.73175455,9.534018400,122.474040288,-1.640369839,-5.690724031,2.14
3,0910537220.53,34.58261647,127.73179490,7.661390827,121.566851783,-0.031273162,-7.092638607,2.12
4,0910547220.60,34.58259896,127.73182906,7.357590749,121.160626528,0.667531296,-6.572103750,2.11
5,0910557220.31,34.58257909,127.73186766,8.714436398,121.041349102,1.880830192,-8.953958532,2.11
6,0910567220.87,34.58255883,127.73190813,8.377819597,120.960408923,1.812869153,-7.069960570,2.11
7,0910577220.35,34.58253929,127.73194726,8.218069219,121.223250694,1.360269137,-6.921478778,2.12
8,0910587220.82,34.58251782,127.73198841,9.163937904,121.446387676,2.320686701,-7.450962582,2.12
9,0910597220.35,34.58249358,127.73203455,10.308607986,121.914102968,3.068086387,-6.032532915,2.13
10,0911007220.82,34.58246571,127.73208720,12.620805384,121.058231470,6.168920105,-0.996599044,2.11
11,0911017220.51,34.58243613,127.73215349,14.061857603,117.977841584,4.554029844,3.667640792,2.06
12,0911027220.57,34.58240513,127.73222702,15.409394444,117.353595348,2.618683399,5.172887940,2.05
13,0911037220.56,34.58237413,127.73230426,15.472037725,116.528857085,-0.074854112,5.776262349,2.03
14,0911047220.36,34.58234302,127.73238169,16.068025740,114.828417073,0.921306741,5.348380100,2.00
15,0911057220.72,34.58231650,127.73246071,14.546921295,109.666907909,1.719201128,6.220202277,1.91
16,0911067220.35,34.58229906,127.73253320,12.514321817,104.309346479,0.528402921,7.006102464,1.82
17,0911077220.82,34.58228794,127.73259825,11.463594411,101.509499273,-1.221009567,9.557199487,1.77
18,0911087220.42,34.58227794,127.73266128,11.746682091,100.629531558,-1.086592618,8.743450367,1.76
19,0911097220.74,34.58226853,127.73272789,12.781081311,98.482993344,-0.588156066,9.154639883,1.72
20,0911107220.56,34.58226162,127.73280182,13.742216887,94.341191600,-0.393144310,9.458986118,1.65
21,0911117220.51,34.58225973,127.73287924,14.299976038,89.621091878,-0.881225487,10.070917589,1.56
22,0911127220.53,34.58226349,127.73296064,15.196768406,85.239991664,-0.733092921,9.998867591,1.49
23,0911137220.27,34.58227143,127.73304559,15.708824212,83.584155718,-1.550499797,9.784376582,1.46
24,0911147220.89,34.58228202,127.73313381,16.535434861,80.846653124,-1.941346029,9.492663762,1.41
25,0911157220.50,34.58229760,127.73322728,17.664320845,76.887316973,-1.095442432,8.802256873,1.34
26,0911167220.75,34.58231864,127.73332435,18.035753681,73.296784714,1.889351409,8.080275446,1.28
27,0911177220.45,34.58234620,127.73341997,18.002148171,68.380744595,1.738305432,8.417916885,1.19
28,0911187220.94,34.58238050,127.73351295,18.093080292,64.822352080,0.949213114,9.324339743,1.13
29,0911197220.26,34.58241613,127.73360241,16.899493319,64.486649285,0.361591297,9.542498534,1.13
30,0911207220.85,34.58244853,127.73368584,15.883189872,65.940162815,0.643027137,9.177513922,1.15
31,0911217220.31,34.58247406,127.73376870,15.633966306,72.345305280,2.381247117,8.699584114,1.26
32,0911227220.81,34.58248887,127.73385541,15.881643811,80.464597181,3.659975327,7.513880232,1.40
33,0911237220.43,34.58249732,127.73394605,16.428786306,84.693624045,3.015902125,7.004121997,1.48
34,0911247220.94,34.58250414,127.73403903,16.784712186,85.213645606,0.982414884,5.929799573,1.49
35,0911257220.31,34.58251059,127.73413351,16.997634830,85.396952742,-0.153172775,4.935968348,1.49
20210908,91051
