num,A,Lat,Lng,B,C,D,E,F
1,1416267590.88,34.65066577,127.59384035,13.082394530,295.574772217,1.012260094,-0.080169220,5.16
2,1416277590.53,34.65069485,127.59376783,15.121681558,295.737376355,1.183646184,-0.180250280,5.16
3,1416287590.93,34.65072782,127.59368587,17.238386575,295.650794729,1.340578654,-0.113939763,5.16
4,1416297590.42,34.65076438,127.59359214,19.591663965,294.895614607,0.969264723,-0.248033128,5.15
5,1416307590.90,34.65080530,127.59348518,22.427818503,294.560262076,1.078292434,-0.470308798,5.14
6,1416317590.38,34.65085178,127.59336362,24.859086705,294.604745368,1.329205996,-0.524161842,5.14
7,1416327590.91,34.65090240,127.59323159,26.826323392,294.810359487,0.883846403,-0.961994612,5.15
8,1416337590.45,34.65095680,127.59309073,28.399318207,294.902157180,-0.014101656,-1.360510134,5.15
9,1416347600.08,34.65101302,127.59294393,28.837266893,294.822976520,-1.506556341,-1.582667149,5.15
10,1416357590.48,34.65106943,127.59279662,28.869090911,294.314903153,-1.603352134,-2.187224529,5.14
11,1416367590.96,34.65112343,127.59264808,28.833344273,293.016931819,-1.889849573,-2.311333890,5.11
12,1416377590.51,34.65117456,127.59249894,28.766685682,291.706751995,-1.813332766,-2.551273668,5.09
13,1416387600.00,34.65122281,127.59234906,28.680953442,290.653904299,-1.929298232,-2.562529477,5.07
14,1416397590.62,34.65126815,127.59219866,28.768109393,289.119094511,-1.671303467,-2.324684452,5.05
15,1416407590.98,34.65131077,127.59204481,29.120850461,287.574522659,-1.215335958,-2.565298397,5.02
16,1416417590.52,34.65135089,127.59188894,29.333552505,287.087348159,-0.984795611,-2.611728287,5.01
17,1416427590.98,34.65139228,127.59173264,29.240267924,287.439192746,0.962450686,-2.544431731,5.02
18,1416437590.52,34.65143507,127.59157722,29.369534574,288.788700565,1.270182187,-2.288865802,5.04
19,1416447590.95,34.65148160,127.59142175,29.812477371,290.216290624,1.824181839,-2.342545338,5.07
20,1416457590.59,34.65153056,127.59126617,29.927145422,290.980081993,1.755943195,-2.306036379,5.08
21,1416467590.97,34.65158233,127.59111015,30.049579002,292.201553602,1.623661637,-2.370373775,5.10
22,1416477590.72,34.65163724,127.59095512,30.114200277,293.707869958,1.729908379,-2.153205798,5.13
23,1416487590.87,34.65169575,127.59080219,29.959725787,295.461359755,1.515589367,-1.969258245,5.16
