num,A,Lat,Lng,B,C,D,E,F
1,1648559800.37,35.01540311,127.08046617,44.578217290,306.289926587,2.608625815,0.942001829,5.35
2,1648569800.76,35.01553089,127.08026743,45.027097777,308.891673424,2.807061428,1.371723819,5.39
3,1648579800.37,35.01566729,127.08007342,45.764023906,311.683591004,2.616436537,1.093916211,5.44
4,1648589800.74,35.01581456,127.07988470,46.567849618,314.671475591,2.678310567,1.025692713,5.49
5,1648599800.43,35.01597072,127.07970215,47.277213593,317.213092045,2.430234710,1.085790273,5.54
6,1649009800.61,35.01613690,127.07952601,47.976526316,320.169812702,2.377962361,1.117831958,5.59
7,1649019800.45,35.01631225,127.07935874,48.588510687,322.845466160,2.320567452,1.094382363,5.63
8,1649029800.51,35.01649666,127.07919830,49.311544511,325.326905331,2.161121742,1.163978213,5.68
9,1649039800.23,35.01668901,127.07904580,50.015191397,327.979279782,2.071931035,0.960776582,5.72
10,1649049800.80,35.01689070,127.07890292,50.711308186,331.125656852,2.039592762,0.744936285,5.78
11,1649059800.46,35.01710110,127.07877189,51.563321323,333.967490352,1.861581770,0.546128922,5.83
12,1649069800.91,35.01731842,127.07864975,51.769766824,336.072564159,1.050670535,0.418778566,5.87
13,1649079800.33,35.01754170,127.07853996,52.149293309,338.968091254,0.625380501,0.312005680,5.92
14,1649089800.89,35.01777089,127.07843935,52.822185813,340.544782627,0.909140170,-0.098468963,5.94
15,1649099800.31,35.01800450,127.07834473,53.185862391,341.195153223,1.197832786,-0.381947866,5.95
16,1649109800.81,35.01823930,127.07825195,53.190908408,341.868737663,1.266219252,-0.950624817,5.97
17,1649119800.35,35.01847437,127.07816107,53.150010087,342.285370449,1.343675205,-1.054575559,5.97
18,1649129800.57,35.01870979,127.07807210,53.183215179,342.449329243,1.493667112,-1.094833977,5.98
19,1649139800.44,35.01894546,127.07798340,53.229975185,342.435259285,1.738612436,-1.238428983,5.98
20,1649149800.44,35.01918114,127.07789396,53.267388380,342.447650890,1.656245701,-1.527243602,5.98
21,1649159800.82,35.01941640,127.07780507,52.751726952,342.379142570,1.531841658,-1.593635857,5.98
22,1649169800.33,35.01964831,127.07771604,52.136476203,342.305075568,1.630821982,-1.619796647,5.97
23,1649179800.79,35.01987893,127.07762917,51.537208833,342.456429493,2.036948342,-1.516022896,5.98
24,1649189800.25,35.02010608,127.07754359,51.027027209,342.940465557,1.837502830,-1.616481138,5.99
25,1649199800.80,35.02033293,127.07746285,50.494047672,343.634842766,1.814559077,-1.645435603,6.00
26,1649209800.47,35.02055675,127.07738419,49.964675612,343.737630935,2.117197533,-1.678377596,6.00
27,1649219800.50,35.02077904,127.07730815,49.414745016,344.016239500,1.943609193,-2.113370767,6.00
28,1649229800.61,35.02099815,127.07723317,48.618353003,343.838234899,1.747061009,-2.167445141,6.00
29,1649239800.48,35.02121522,127.07715876,48.387485669,343.756358759,1.586939357,-2.412832509,6.00
30,1649249800.65,35.02143092,127.07708465,48.125500611,343.706710676,1.543699742,-2.751511035,6.00
31,1649259800.42,35.02164515,127.07701014,47.348999767,343.937947415,2.257504350,-2.397890829,6.00
