num,A,Lat,Lng,B,C,D,E,F
1,2113123290.39,35.13815817,126.89617132,16.665409659,328.078086444,-0.549516052,-0.358561983,5.73
2,2113133290.94,35.13822587,126.89612045,17.705597340,327.918295490,0.030062281,0.257305150,5.72
3,2113143290.51,35.13829728,126.89606655,18.585854825,328.112993609,0.110081531,-0.011419963,5.73
4,2113153300.02,35.13837195,126.89601062,19.275227525,328.069515704,0.522046731,-0.008717459,5.73
5,2113163290.58,35.13844937,126.89595193,20.045903760,327.753830018,0.582442578,-0.132813931,5.72
6,2113173300.04,35.13853031,126.89589123,20.822384212,328.112068953,0.949403501,0.140571290,5.73
7,2113183290.46,35.13861265,126.89582728,21.285453609,326.947256382,1.120881527,-0.107284823,5.71
8,2113193290.97,35.13869683,126.89576133,21.919019807,327.181232450,1.112444124,0.225102562,5.71
9,2113203290.44,35.13878337,126.89569487,21.862833277,327.856480225,1.188482617,0.009034860,5.72
10,2113213300.05,35.13886844,126.89563063,21.547164306,328.261131051,1.621380428,-0.022959553,5.73
11,2113223290.51,35.13895384,126.89556622,21.781909770,328.129883168,1.056177406,0.244202780,5.73
12,2113233290.96,35.13904000,126.89550055,22.233617287,327.468183125,1.294695201,0.467501307,5.72
13,2113243290.57,35.13912713,126.89543340,22.175515792,327.597667616,1.017797417,0.342755682,5.72
14,2113253290.84,35.13921423,126.89536692,21.897106152,328.012050165,1.002192155,-0.017884525,5.72
15,2113263290.72,35.13930139,126.89530147,22.252726157,328.034970987,1.939471137,-0.547729969,5.73
16,2113273290.78,35.13938932,126.89523490,22.440528089,327.959443554,1.226784673,-0.689127671,5.72
17,2113283290.62,35.13947874,126.89516644,23.000320849,327.553044109,1.451475747,-0.933796120,5.72
18,2113293290.89,35.13956932,126.89509635,23.573683353,327.550388260,0.806266618,-1.157658525,5.72
19,2113303290.57,35.13966277,126.89502370,24.339960543,327.146036866,1.178725999,-1.467449065,5.71
20,2113313300.05,35.13975948,126.89494917,25.311474563,327.485078594,2.268507227,-1.714755053,5.72
21,2113323290.62,35.13986023,126.89487207,26.249149495,327.874324038,1.870788473,-1.722159530,5.72
22,2113333300.00,35.13996428,126.89479282,27.127935071,327.900557161,1.368785574,-1.989243117,5.72
23,2113343290.54,35.14007190,126.89471060,28.005463778,327.796597971,0.812052682,-1.573890529,5.72
24,2113353290.94,35.14018312,126.89462574,28.833412863,327.749758823,1.345205370,-1.331589450,5.72
25,2113363290.53,35.14029777,126.89453909,29.360945964,328.233856408,1.427923760,-1.434447203,5.73
26,2113373300.08,35.14041479,126.89445244,29.509974018,328.310550001,1.899444618,-1.584342305,5.73
27,2113383290.57,35.14053091,126.89436527,29.378290026,327.934937221,1.677671867,-1.583660753,5.72
28,2113393290.94,35.14064585,126.89427678,29.240859283,327.609631839,0.820686393,-1.806121184,5.72
29,2113403290.53,35.14075997,126.89418847,29.001620232,327.477823542,-0.092718853,-0.836069128,5.72
