num,A,Lat,Lng,B,C,D,E,F
1,1505288660.73,34.55037704,127.34638668,34.476910330,29.502917170,-0.774574572,-2.026401833,0.51
2,1505298660.21,34.55051595,127.34648197,34.267828739,29.230246430,-0.942809217,-2.241496464,0.51
3,1505308660.65,34.55065484,127.34657536,34.143743432,28.307172024,-1.083071966,-2.280156625,0.49
4,1505318660.26,34.55079492,127.34666445,34.140970162,26.947625445,-1.314292830,-2.276774729,0.47
5,1505328660.76,34.55093764,127.34675163,34.679815091,26.186767962,-1.275268500,-2.422175203,0.46
6,1505338660.20,34.55108285,127.34683887,35.089447130,25.523055785,0.064445579,-2.358188659,0.45
7,1505348660.60,34.55122988,127.34692476,35.475995772,25.392186082,0.654444699,-1.213647535,0.44
8,1505358660.34,34.55137848,127.34701187,35.584676082,25.763050112,1.232502589,-1.662516535,0.45
9,1505368660.47,34.55152609,127.34709882,35.276453786,25.398345970,1.473627648,-1.114119058,0.44
10,1505378660.33,34.55167374,127.34718331,35.084538293,24.772065708,1.487633537,-1.134472017,0.43
11,1505388660.43,34.55182047,127.34726598,34.825104051,24.459855950,0.895911039,-0.711687864,0.43
12,1505398660.54,34.55196653,127.34734572,34.432182078,23.601029559,0.460851949,-0.763730506,0.41
13,1505408660.43,34.55211171,127.34742157,33.896414440,22.653401047,0.466875490,-0.934302384,0.40
14,1505418660.76,34.55225628,127.34749213,33.474710519,20.953057884,0.220030879,-0.929135695,0.37
15,1505428660.22,34.55240174,127.34755765,33.617051952,19.838280995,0.158891700,-1.017603750,0.35
16,1505438660.60,34.55254897,127.34762173,33.984895851,19.420777119,-0.955351212,-0.839142426,0.34
17,1505448660.41,34.55269877,127.34768418,34.357863625,18.261939319,-0.724318862,-0.805737662,0.32
18,1505458660.61,34.55285167,127.34774337,35.022239817,16.731420441,-0.941662514,-0.993452217,0.29
19,1505468660.44,34.55300970,127.34779743,35.780584639,14.310105045,-0.441758414,-0.826992732,0.25
20,1505478660.69,34.55317202,127.34784499,36.304499141,12.912205935,-1.212812045,-0.766981395,0.23
21,1505488660.36,34.55333704,127.34789007,36.710938953,12.103058543,-0.621576934,-0.775950599,0.21
22,1505498660.76,34.55350448,127.34793291,37.130967048,11.461905659,-0.179577992,-0.977337445,0.20
23,1505508660.35,34.55367364,127.34797480,37.380694844,11.104095404,0.475712894,-0.967206431,0.19
24,1505518660.60,34.55384250,127.34801521,36.894760797,10.680642941,0.766653812,-1.083518598,0.19
25,1505528660.42,34.55400948,127.34805421,36.446829451,10.532307629,1.221130464,-1.253773585,0.18
26,1505538660.69,34.55417434,127.34809256,35.919719015,10.633092647,1.038410598,-1.036511036,0.19
27,1505548660.44,34.55433662,127.34813051,35.457064866,10.638003113,1.182192161,-0.929263975,0.19
28,1505558660.51,34.55449667,127.34816856,34.959170164,10.932944954,1.329102813,-1.063830987,0.19
29,1505568660.58,34.55465452,127.34820669,34.447375743,11.118702369,2.034634834,-1.139390557,0.19
30,1505578660.23,34.55481013,127.34824486,34.013792733,11.230782265,1.867245994,-0.962276125,0.20
31,1505588660.58,34.55496383,127.34828187,33.579994684,10.894988291,1.127955537,-0.980114054,0.19
32,1505598660.36,34.55511582,127.34831709,33.226773484,10.716982448,0.827572510,-0.886032209,0.19
33,1506008660.59,34.55526757,127.34835222,33.344407600,10.701601028,1.042133531,-0.723858303,0.19
34,1506018660.31,34.55542094,127.34838721,33.847303828,10.301585013,0.218780157,-0.708580675,0.18
35,1506028660.55,34.55557643,127.34842087,34.216315614,9.858293978,-0.284006749,-0.693543144,0.17
36,1506038660.53,34.55573375,127.34845134,34.430213352,7.613471817,-0.575203297,-0.839114466,0.13
37,1506048660.65,34.55589375,127.34847101,34.929294480,3.995827029,-0.837877731,-1.162802887,0.07
38,1506058660.39,34.55605585,127.34847934,35.362065529,1.191218446,-1.548068793,-0.887205617,0.02
39,1506068660.56,34.55622026,127.34847882,35.525770042,358.505898586,-1.357516132,-0.777579320,6.26
