num,A,Lat,Lng,B,C,D,E,F
1,1513488670.50,34.59570578,127.30689469,32.144790247,318.938823192,2.169748915,-3.748329697,5.57
2,1513498670.84,34.59582038,127.30677628,32.320585180,319.343933766,2.979315308,-3.741603656,5.57
3,1513508670.52,34.59593649,127.30665974,32.622030018,321.089648084,3.639899774,-3.561006118,5.60
4,1513518670.82,34.59605915,127.30654902,32.822157802,324.606679593,3.018299215,-3.825308585,5.67
5,1513528670.30,34.59618759,127.30644796,33.109228350,328.658847711,2.808987033,-3.781538581,5.74
6,1513538680.01,34.59632281,127.30635707,33.279803009,332.097569220,1.763397312,-3.371432098,5.80
7,1513548670.29,34.59646189,127.30627489,33.433174494,334.706476989,2.112712721,-3.147806504,5.84
8,1513558670.70,34.59660360,127.30619734,33.408689632,335.239969054,2.156950919,-2.836081641,5.85
9,1513568670.41,34.59674504,127.30612003,33.316852861,335.345977056,1.842441134,-2.741689901,5.85
10,1513578670.84,34.59688507,127.30604340,32.662609487,335.266964626,1.596525271,-2.555834541,5.85
11,1513588670.27,34.59702117,127.30596732,32.045593929,334.747120063,0.384827233,-2.389098024,5.84
12,1513598670.84,34.59715326,127.30588963,31.398350467,333.412309345,-0.912113496,-2.654476097,5.82
13,1514008670.41,34.59728157,127.30580893,31.036097600,332.014441548,-1.767684734,-2.661015160,5.79
14,1514018670.82,34.59740722,127.30572608,30.839460503,330.472423633,-1.268038864,-2.652283757,5.77
15,1514028670.40,34.59752952,127.30563796,30.669634776,327.557386236,-1.247529184,-2.602713121,5.72
16,1514038670.88,34.59764583,127.30554034,30.474723558,323.057609764,-1.356395712,-2.634926171,5.64
17,1514048670.35,34.59775585,127.30543358,30.373399088,320.221347581,-0.774287686,-2.771144890,5.59
18,1514058670.86,34.59786307,127.30532413,30.363079038,319.617950978,0.182899814,-2.751343316,5.58
19,1514068670.28,34.59797029,127.30521395,30.390366831,319.653936445,1.592200257,-3.216082897,5.58
20,1514078670.87,34.59807933,127.30510487,30.429776558,319.844888041,2.432118460,-2.402224872,5.58
21,1514088670.34,34.59818745,127.30499602,30.217055977,320.385857220,1.545149951,-2.333635548,5.59
22,1514098670.82,34.59829726,127.30488862,30.558861537,321.061624528,1.167025675,-1.806179727,5.60
23,1514108670.41,34.59840865,127.30478138,30.700872996,321.440662482,1.724333232,-1.686847433,5.61
24,1514118680.00,34.59852095,127.30467458,30.676760745,321.538998583,0.938024566,-1.705060358,5.61
25,1514128670.44,34.59863163,127.30456917,30.029255899,321.495306745,1.576552596,-1.195466689,5.61
26,1514138670.85,34.59874078,127.30446627,29.575542581,321.892410837,1.441424966,-0.902303987,5.62
27,1514148670.49,34.59884832,127.30436420,29.273092988,321.343748702,0.748071782,-0.442035647,5.61
28,1514158670.85,34.59895295,127.30426324,28.709464737,320.575415006,1.670744674,-0.172763856,5.60
29,1514168670.65,34.59905451,127.30416192,28.220952068,320.050218635,1.475544677,0.299738393,5.59
30,1514178670.35,34.59915321,127.30406270,27.403879170,320.168016293,1.538179605,0.155866314,5.59
31,1514188670.80,34.59924994,127.30396577,26.860023446,320.283863867,1.973615570,0.548954043,5.59
32,1514198670.49,34.59934560,127.30387023,26.786450217,320.378528970,1.637671886,0.061307183,5.59
33,1514208670.96,34.59944168,127.30377488,26.969530545,320.517068608,2.145216144,0.253335615,5.59
34,1514218670.46,34.59953869,127.30367926,27.151950924,320.645214400,2.296141218,0.001418909,5.60
35,1514228670.85,34.59963702,127.30358264,27.524788934,320.816196972,1.794692392,-0.190845087,5.60
36,1514238670.48,34.59973543,127.30348670,27.002537281,320.823819462,2.246716254,-0.179877746,5.60
37,1514248670.91,34.59983134,127.30339322,26.110725121,320.914103669,2.795475310,-0.027644578,5.60
38,1514258670.59,34.59992411,127.30330278,25.229994919,320.923560063,2.016814778,-0.152633312,5.60
39,1514268670.91,34.60001345,127.30321507,24.278360946,320.745199317,1.525825131,-0.042875402,5.60
40,1514278670.45,34.60009757,127.30312908,23.353325156,318.817854524,1.136883118,0.052315957,5.56
41,1514288670.81,34.60017661,127.30304170,22.959211195,316.674299367,0.490562051,0.269987076,5.53
42,1514298670.50,34.60025147,127.30295139,22.726803361,314.069391621,-0.911964001,-0.183876228,5.48
43,1514308670.88,34.60032269,127.30285682,22.919858935,311.390309623,-1.484562872,-0.279168338,5.43
44,1514318670.51,34.60039074,127.30275750,23.001479468,308.450110833,-2.367703134,-0.132546020,5.38
45,1514328670.79,34.60045417,127.30265375,23.017108773,305.007004329,-2.006045383,-0.005695703,5.32
46,1514338670.53,34.60051338,127.30254557,23.428837449,301.801845185,-0.631142457,-0.296962672,5.27
47,1514348670.79,34.60056910,127.30243169,23.819230853,299.038458622,1.405053564,-0.498730130,5.22
48,1514358670.54,34.60062148,127.30231278,24.246295935,297.422879446,1.969775312,-0.699700680,5.19
49,1514368670.70,34.60067427,127.30219027,25.039907263,297.349838784,2.239661196,-0.366373727,5.19
50,1514378670.91,34.60072890,127.30206430,25.719186075,298.430907471,1.460735556,-0.049594232,5.21
51,1514388670.46,34.60078838,127.30193698,26.337058084,300.278608759,1.310947865,0.090386034,5.24
52,1514398671.00,34.60085197,127.30180864,26.751385774,300.807798834,2.361750362,-0.021021243,5.25
53,1514408670.57,34.60091583,127.30168238,26.018602867,301.930303884,2.744970566,0.178935615,5.27
54,1514418670.90,34.60098367,127.30156236,25.828683906,305.931450702,3.849228499,0.019016482,5.34
55,1514428670.76,34.60105924,127.30144931,26.101864003,311.136618461,4.116312061,0.186689920,5.43
56,1514438670.82,34.60114441,127.30134322,26.658418191,316.077855970,4.111762025,-0.561751030,5.52
57,1514448670.65,34.60123859,127.30124285,27.434817076,320.534760639,1.665776381,-0.050318023,5.59
58,1514458670.89,34.60134178,127.30115095,27.557758594,326.285679088,1.710574728,-0.022577240,5.69
59,1514468670.50,34.60145055,127.30107218,27.050481859,330.166123322,1.675223195,0.144228350,5.76
60,1514478670.89,34.60155645,127.30099902,24.923092522,329.632359686,1.589386341,-0.379162509,5.75
61,1514488670.52,34.60164736,127.30093397,20.560510381,328.344330049,1.476418277,-0.248591147,5.73
62,1514498670.95,34.60171925,127.30087927,16.039089927,328.276754360,1.622986920,-0.511131767,5.73
63,1514508670.60,34.60177376,127.30083821,11.715814629,328.083091466,1.597305060,-0.430480301,5.73
64,1514518670.74,34.60181102,127.30080970,7.968762233,328.032007169,1.544655556,-0.014397483,5.73
65,1514528680.03,34.60183589,127.30079060,5.056442404,327.893769066,1.630200212,-0.044127772,5.72
66,1514538670.55,34.60185276,127.30077857,2.563318550,327.771678858,1.935836222,0.062477993,5.72
67,1515058670.49,34.60187999,127.30075910,3.868343809,327.392053400,2.081555420,0.928683256,5.71
68,1515068670.89,34.60190178,127.30074188,7.467635447,326.512074208,2.039417924,1.059600230,5.70
69,1515078670.68,34.60193838,127.30071057,11.372212746,324.044951935,2.181982934,1.153284719,5.66
70,1515088670.83,34.60199007,127.30066468,15.721044397,323.583993575,1.832912300,1.158707744,5.65
71,1515098670.71,34.60205672,127.30060631,19.347228740,324.341670656,1.353400482,0.736357722,5.66
72,1515108670.83,34.60213708,127.30053938,22.582485788,325.802231448,1.705751399,0.939679630,5.69
73,1515118680.13,34.60223052,127.30046520,25.455986785,326.780367984,1.507991687,0.852021835,5.70
74,1515128670.59,34.60233370,127.30038402,27.616080690,327.118879059,-0.198689660,0.818892733,5.71
75,1515138680.14,34.60244688,127.30029595,29.938677852,327.043305222,-1.178969316,0.349731092,5.71
76,1515148670.73,34.60256695,127.30020126,31.567123242,326.457629441,-0.202097947,0.366429331,5.70
77,1515158680.12,34.60268918,127.30010270,31.477054987,325.492130489,0.894779038,0.157142661,5.68
78,1515168670.73,34.60280978,127.30000125,31.805112838,324.507520541,1.272888651,0.403888922,5.66
79,1515178680.04,34.60292923,127.29989562,32.017342165,323.218137275,1.145251175,0.454738234,5.64
80,1515188670.54,34.60304762,127.29978625,32.235566650,321.894526439,1.173544960,0.229168046,5.62
81,1515198680.01,34.60316376,127.29967331,32.081457356,320.524954809,1.131292360,0.009391786,5.59
82,1515208670.47,34.60327718,127.29955621,32.129804207,317.950931028,1.303706701,-0.135382883,5.55
83,1515218670.88,34.60338414,127.29943194,32.347183363,314.831837270,1.580737385,-0.209605854,5.49
84,1515228670.68,34.60348706,127.29930016,32.252962618,312.075269992,1.545204143,-0.717858017,5.45
85,1515238670.74,34.60358306,127.29916402,31.765389820,309.394693740,1.165112597,-0.907847537,5.40
86,1515248670.87,34.60367330,127.29902602,31.201700394,308.049866830,1.313285399,-0.732251946,5.38
87,1515258670.79,34.60376182,127.29888888,31.127026013,308.329613010,1.750736242,-0.972571739,5.38
88,1515268670.95,34.60385248,127.29875193,31.548993173,309.095706971,1.330022859,-0.660432532,5.39
89,1515278670.75,34.60394585,127.29861644,31.253131951,310.269574385,1.458944939,-0.760927995,5.42
90,1515288670.95,34.60404266,127.29848442,31.461816831,312.001089477,1.140917814,-0.537901761,5.45
91,1515298670.82,34.60414315,127.29835453,31.892085263,313.204104526,1.890092181,-0.514017331,5.47
92,1515308680.03,34.60424621,127.29822366,32.400665212,313.463812648,1.500304435,-0.009400417,5.47
