num,A,Lat,Lng,B,C,D,E,F
1,1330572530.15,34.75766349,127.70978651,18.129123537,226.168024193,2.625522523,1.927813899,3.95
2,1330582530.70,34.75760615,127.70971319,17.738958150,226.427662968,2.752355909,1.643718921,3.95
3,1330592530.08,34.75755047,127.70964064,17.699444610,227.296665479,2.106931781,1.689168462,3.97
4,1331002530.62,34.75749494,127.70956584,18.205677660,228.254028925,1.758994054,1.927347890,3.98
5,1331012530.09,34.75743860,127.70948801,18.522596086,228.699718202,1.990838153,1.866687378,3.99
6,1331022530.65,34.75738198,127.70940791,19.017674880,229.381939590,1.884635035,1.767561394,4.00
7,1331032530.11,34.75732483,127.70932544,19.284014491,229.968772704,2.041970517,1.640986421,4.01
8,1331042530.68,34.75726819,127.70924143,19.134567480,230.714744396,2.160067839,1.460360643,4.03
9,1331052530.17,34.75721346,127.70915849,18.826851270,231.343053320,2.015634546,1.519699181,4.04
10,1331062530.35,34.75715970,127.70907467,18.790023872,231.910444779,2.767562980,1.321295126,4.05
11,1331072530.16,34.75710691,127.70899276,18.400950367,232.003074046,0.902352205,1.560888400,4.05
12,1331082530.57,34.75705305,127.70891127,18.789842200,230.912715393,0.243756005,0.148264566,4.03
13,1331092530.29,34.75699848,127.70882892,18.918007699,230.717014602,1.696572491,0.067241058,4.03
14,1331102530.44,34.75694188,127.70874562,19.375667737,229.716998947,1.067731841,0.556076573,4.01
15,1331112530.29,34.75688069,127.70866356,19.971079223,226.035203472,1.688195141,-0.607849618,3.95
16,1331122530.53,34.75681391,127.70858443,20.627789992,222.881380908,1.484822816,-0.310937139,3.89
17,1331132530.06,34.75674131,127.70851028,20.821436925,218.109182222,-0.801343497,0.444213685,3.81
18,1331142530.80,34.75666068,127.70844213,21.391271666,212.952348110,-0.867942846,-0.991475777,3.72
19,1331152530.20,34.75657826,127.70837868,20.651613051,211.394929444,1.990586357,0.105428184,3.69
20,1331162530.67,34.75649766,127.70832097,19.830654609,210.063317225,0.808056505,0.776345944,3.67
21,1331172530.22,34.75641775,127.70826603,20.023734282,209.292607604,0.035707011,0.142220093,3.65
22,1331182530.47,34.75633707,127.70821112,19.889467959,209.240848734,0.078121071,-0.213153955,3.65
23,1331192530.40,34.75625715,127.70815559,19.713483940,209.206043820,1.698219264,-0.112192298,3.65
24,1331202530.35,34.75617707,127.70810108,20.077803783,209.224657835,0.375603521,-0.327764559,3.65
25,1331212530.25,34.75609547,127.70804438,20.304097817,209.524738948,1.633194512,-0.278788960,3.66
26,1331222530.30,34.75601342,127.70798589,20.831306504,210.758705164,1.358848158,0.396766139,3.68
27,1331232530.43,34.75593101,127.70792319,20.878194422,213.013942460,0.208413493,0.318170346,3.72
28,1331242530.57,34.75585118,127.70785641,20.831747706,215.860351265,-1.135795047,0.040866427,3.77
29,1331252530.19,34.75577659,127.70778611,19.661839197,217.953174867,1.758863822,-0.095617256,3.80
30,1331262530.65,34.75570868,127.70771933,18.054612290,218.987364583,2.187820886,0.153782994,3.82
31,1331272530.23,34.75564976,127.70765885,15.189836157,220.411272264,2.006345142,0.095908236,3.85
32,1331282530.56,34.75560215,127.70760818,12.196647972,221.335047822,2.954904528,0.474695844,3.86
33,1331292530.42,34.75556488,127.70756689,10.271349582,222.645871841,2.973722388,1.111295161,3.89
34,1331302530.50,34.75553658,127.70753438,7.680142843,223.616541393,3.788928943,1.485420425,3.90
35,1331312530.31,34.75551525,127.70750989,5.449311544,224.139094786,2.762686475,1.100092441,3.91
36,1331322530.39,34.75550156,127.70749310,2.982679744,224.395853239,2.759760288,0.871077235,3.92
37,1331482530.50,34.75549264,127.70748120,2.185710275,224.572572367,2.789916333,1.602555360,3.92
38,1331492530.31,34.75548050,127.70746671,5.259628942,224.777565315,2.713662529,1.609421507,3.92
39,1331502530.56,34.75545870,127.70744045,7.711678596,225.045073954,2.178002140,1.776341807,3.93
40,1331512530.35,34.75542950,127.70740507,10.250985696,225.376053874,1.182846272,1.381957853,3.93
41,1331522530.58,34.75539207,127.70735823,12.758159195,225.613876912,2.184530184,1.031950486,3.94
42,1331532530.32,34.75534861,127.70730359,13.968079914,225.501407091,3.154703637,2.196409178,3.94
43,1331542530.52,34.75530179,127.70724470,15.145708533,225.587959230,3.646037456,1.134471822,3.94
44,1331552530.49,34.75525389,127.70718461,14.461556107,225.895066873,3.048600802,0.873475487,3.94
45,1331562530.37,34.75520809,127.70712622,14.154833528,226.129490686,2.900935649,1.399722427,3.95
46,1331572530.59,34.75516253,127.70706862,14.148829101,226.251168492,1.490034660,1.182428247,3.95
47,1331582530.25,34.75511827,127.70700936,13.925897843,228.798531398,0.838486565,1.220200652,3.99
48,1331592530.68,34.75508038,127.70694782,13.426394051,235.626195751,0.442361714,0.751812061,4.11
49,1332002530.35,34.75505117,127.70688153,13.341409816,243.548617183,1.132244808,1.068776982,4.25
50,1332012530.79,34.75502855,127.70681137,13.267204445,250.162787577,1.176084324,0.738540320,4.37
51,1332022530.40,34.75501308,127.70673924,13.173783611,256.649268175,1.868410496,0.926209352,4.48
52,1332032530.55,34.75500403,127.70666646,13.306303663,263.112561230,1.073412263,1.277085873,4.59
53,1332042530.31,34.75500171,127.70659104,13.754053337,269.617540828,0.901141335,1.529412847,4.71
54,1332052530.67,34.75500674,127.70651205,14.542743779,275.773916053,1.497674515,1.172865972,4.81
55,1332062530.33,34.75501871,127.70643206,14.228074928,281.386132426,2.770840644,1.301915349,4.91
56,1332072530.76,34.75503476,127.70635537,13.985441587,284.815073596,2.577211082,1.592355357,4.97
57,1332082530.21,34.75505301,127.70627985,14.041498351,286.925623663,2.464855398,1.467827426,5.01
