num,A,Lat,Lng,B,C,D,E,F
1,0903567210.55,34.61986722,127.71885134,30.781175483,159.248402301,-3.162797172,-3.453164143,2.78
2,0903577210.83,34.61973947,127.71891780,28.973158990,154.431331700,-2.904734714,-3.766740366,2.70
3,0903587210.45,34.61962459,127.71899159,27.573725290,150.287213842,-3.056290791,-3.993648580,2.62
4,0903597210.99,34.61951779,127.71907186,26.595174282,146.560899124,-3.011248916,-3.643143278,2.56
5,0904007210.35,34.61941990,127.71915459,24.878299388,143.375600607,-1.337627225,-4.008190601,2.50
6,0904017210.90,34.61932889,127.71924117,24.708406923,139.804573671,-0.356488155,-3.858480236,2.44
7,0904027210.41,34.61924370,127.71933292,24.517212555,136.230569308,0.734636056,-3.324282508,2.38
8,0904037220.03,34.61916378,127.71943178,24.626916156,132.669780075,0.990618256,-3.102046956,2.32
9,0904047210.52,34.61908607,127.71954063,26.196197829,129.071962347,1.072481625,-2.621948671,2.25
10,0904057220.00,34.61900703,127.71966330,28.525598401,127.191554921,1.546863119,-2.103305534,2.22
11,0904067210.55,34.61892652,127.71979727,30.240788200,125.303916073,1.682955285,-1.806159777,2.19
12,0904077210.95,34.61884400,127.71993991,31.443115795,124.716164707,1.744192617,-1.809464230,2.18
13,0904087210.28,34.61876074,127.72008573,31.423343268,124.468554493,1.377102792,-1.980914958,2.17
14,0904097210.99,34.61867780,127.72023156,31.926613961,124.953218635,0.590750730,-2.010746083,2.18
15,0904107210.42,34.61859085,127.72037973,32.774033406,125.488406676,1.064860974,-1.751193751,2.19
16,0904117210.92,34.61850205,127.72052919,33.038810272,125.726602678,1.318125275,-1.959765065,2.19
17,0904127210.57,34.61841142,127.72068000,33.498253656,125.739533621,0.885190388,-1.897428524,2.19
18,0904137210.82,34.61832176,127.72083248,33.423000893,124.823651410,-0.554725443,-1.990918397,2.18
19,0904147210.31,34.61823491,127.72098696,33.279736272,123.386804463,-0.872701070,-1.596803727,2.15
20,0904157210.90,34.61815183,127.72114349,33.012493865,121.938390773,-1.233344069,-1.519164921,2.13
21,0904167210.52,34.61807383,127.72129841,31.214999485,120.436173234,-0.785190902,-1.464443136,2.10
22,0904177210.87,34.61800537,127.72144305,28.152499008,119.069434543,-1.675039239,-1.872992284,2.08
23,0904187210.55,34.61794464,127.72157761,26.971391751,118.394137825,-1.936386401,-1.834526176,2.07
24,0904197210.93,34.61788647,127.72170886,26.623179492,118.499739962,-1.568245710,-1.818453442,2.07
25,0904207210.34,34.61782622,127.72183825,26.619588700,119.433565679,0.622974408,-3.631593733,2.08
26,0904217210.99,34.61776257,127.72196824,27.107428443,120.650728921,2.329983476,-3.923137102,2.11
27,0904227210.45,34.61769253,127.72210021,28.477944868,123.291100243,3.140140200,-2.097825692,2.15
28,0904237210.69,34.61761398,127.72223253,29.326133636,127.326268587,3.463902406,-0.904205748,2.22
29,0904247220.01,34.61752538,127.72236127,30.209759459,131.637094583,2.054325288,-0.843082648,2.30
30,0904257210.46,34.61742769,127.72248709,31.104532122,134.187597120,0.413740773,-0.201771428,2.34
31,0904267220.01,34.61732600,127.72261415,31.781706882,133.988861260,-1.120340510,-0.168311826,2.34
32,0904277210.36,34.61722354,127.72274420,32.195335693,132.793149597,-2.011282333,-0.038700175,2.32
33,0904287210.97,34.61712507,127.72288009,32.261349165,129.552200960,-1.883149033,0.553251822,2.26
34,0904297210.38,34.61703464,127.72302518,32.570720810,124.905696386,-2.156430657,0.494039279,2.18
35,0904307220.05,34.61695268,127.72317859,32.650708153,120.897133044,-1.901277119,0.405162383,2.11
36,0904317210.51,34.61688130,127.72333912,32.505738046,116.483828879,-1.961693692,0.433607356,2.03
37,0904327210.97,34.61682060,127.72350525,32.534772109,112.100645749,-1.922612901,0.469117485,1.96
38,0904337210.38,34.61677011,127.72367647,32.408851550,107.756331680,-1.908878324,0.291148561,1.88
39,0904347210.96,34.61673082,127.72385147,32.462118360,103.321779947,-2.155794044,0.740994149,1.80
40,0904357210.67,34.61670238,127.72402968,32.304353392,99.467655266,-2.234931153,0.325583574,1.74
41,0904367220.01,34.61668105,127.72420774,31.895195923,97.010433740,-0.453430920,0.320805347,1.69
20210908,90356
