num,A,Lat,Lng,B,C,D,E,F
1,1001040290.16,34.60492058,127.78791632,13.349010356,324.311321484,3.058898336,-1.852747419,5.66
2,1001050290.44,34.60497731,127.78787742,14.838332493,332.683891863,2.758988820,-1.209043969,5.81
3,1001060290.15,34.60504192,127.78784106,15.972377576,335.677086972,2.978760488,-0.293631912,5.86
4,1001070290.35,34.60511364,127.78780633,17.220061858,339.349531116,1.845022840,0.374572509,5.92
5,1001080290.20,34.60519057,127.78777420,17.696341365,341.163519619,2.610462046,0.098221673,5.95
6,1001090290.20,34.60526918,127.78774397,18.045144983,342.832235395,2.263952799,-0.122311065,5.98
7,1001100290.15,34.60535055,127.78771437,18.391344026,343.293958384,1.960031165,-0.026887873,5.99
8,1001110290.49,34.60543322,127.78768476,18.724915050,343.642364944,2.132768932,0.041701698,6.00
9,1001120290.14,34.60551782,127.78765509,19.108925853,343.677526338,2.105185241,0.047152679,6.00
10,1001130290.46,34.60560231,127.78762535,18.688551099,343.791960516,1.281471336,-0.158809024,6.00
11,1001140290.15,34.60568378,127.78759722,17.771987131,343.714914143,1.440672575,-0.000635276,6.00
12,1001150290.39,34.60576021,127.78757041,16.274489779,343.581885916,1.532700989,-0.081877087,6.00
13,1001160290.15,34.60582880,127.78754617,14.771299437,343.493438865,1.475987403,-0.116970844,6.00
14,1001170290.21,34.60589190,127.78752355,13.337654037,343.421440683,1.441957919,1.457997010,5.99
15,1001180290.33,34.60595634,127.78750058,14.968189576,343.397589652,2.297682162,0.215779521,5.99
16,1001190290.24,34.60602575,127.78747587,16.179968720,343.462019855,2.137222534,0.041212336,5.99
17,1001200290.31,34.60609926,127.78744994,16.664553208,344.120522417,1.518649205,-0.247884692,6.01
18,1001210290.29,34.60617412,127.78742475,16.712525592,344.278651474,1.082763127,0.003365034,6.01
19,1001220290.30,34.60624753,127.78739967,16.133206860,344.235090307,1.138069133,-0.265858379,6.01
20,1001230290.25,34.60631709,127.78737543,15.335840680,344.247164685,1.898592351,-0.146623091,6.01
21,1001240290.31,34.60638419,127.78735299,14.913642724,344.273273495,1.793431268,-0.379526447,6.01
22,1001250290.27,34.60645042,127.78733125,15.062910844,344.054381527,2.290756400,-0.187945038,6.00
23,1001260290.19,34.60651776,127.78730825,15.194649524,344.139885783,2.226700487,-0.565103377,6.01
24,1001270290.43,34.60658377,127.78728597,14.600492127,344.278859806,1.833501967,-0.450032284,6.01
25,1001280290.09,34.60664852,127.78726415,14.521903469,344.417682106,1.861573641,0.258169888,6.01
26,1001290290.51,34.60671268,127.78724222,14.170808566,344.476823753,1.901607873,0.383527067,6.01
27,1001300290.16,34.60677462,127.78722192,13.510617305,344.840105346,1.785178816,1.093547042,6.02
28,1001310290.60,34.60683463,127.78720276,13.185438390,344.651181562,1.601536750,0.412459992,6.02
29,1001320290.17,34.60689318,127.78718189,13.018507356,343.090330362,0.566381795,1.162275222,5.99
30,1001330290.68,34.60695181,127.78716073,14.191279972,343.259540741,0.267920468,2.663709954,5.99
31,1001340290.12,34.60701383,127.78713885,14.388627997,343.256909269,1.157920888,2.068353221,5.99
32,1001350290.58,34.60708140,127.78711361,15.950884732,343.240202776,1.758676922,2.752338266,5.99
33,1001360290.27,34.60715574,127.78708714,17.282556836,343.213039802,1.821752398,5.109639725,5.99
34,1001370290.48,34.60723450,127.78705770,17.806879172,343.391719653,-0.954723090,6.421792101,5.99
35,1001380290.12,34.60731460,127.78703019,17.878811796,343.794708165,-0.024488105,6.691674850,6.00
36,1001390290.51,34.60739392,127.78700259,17.618832539,343.862057254,0.473516691,6.183138163,6.00
37,1001400290.10,34.60747259,127.78697627,17.646783989,344.463457074,0.333122451,5.906453695,6.01
38,1001410290.57,34.60755173,127.78695188,17.599189777,346.203380332,-0.072092212,4.947220487,6.04
39,1001420290.15,34.60763224,127.78693299,17.873291209,350.216197290,0.394263807,3.202494486,6.11
40,1001430290.48,34.60771497,127.78692095,18.218292703,354.461724830,1.081843418,2.292300013,6.19
41,1001440290.12,34.60780035,127.78691549,18.817845556,358.158860196,1.127185316,1.784630966,6.25
42,1001450290.61,34.60788897,127.78691762,19.493598459,2.371250481,1.943512401,1.608118360,0.04
43,1001460290.07,34.60797717,127.78692728,18.748450771,5.989254897,2.954546238,1.011472529,0.10
44,1001470290.78,34.60806366,127.78694229,19.170217721,9.300496216,2.894282406,1.046555534,0.16
45,1001480290.14,34.60815037,127.78696971,19.601474224,18.658362654,3.939063261,2.009238619,0.33
46,1001490290.54,34.60823119,127.78701949,19.772794106,32.632377157,3.625629483,2.641975163,0.57
47,1001500290.06,34.60830091,127.78709437,20.921550869,46.350524283,3.826442133,2.861672877,0.81
48,1001510290.45,34.60836287,127.78718874,22.217435551,53.721681040,2.936910166,2.504423618,0.94
20210908,100103
