num,A,Lat,Lng,B,C,D,E,F
1,1009230300.27,34.63967744,127.78768584,27.195129408,309.313109848,-0.746523265,1.547502663,5.40
2,1009240300.33,34.63975717,127.78756655,27.450943198,308.893278825,0.033875992,1.456312037,5.39
3,1009250300.28,34.63983770,127.78744623,27.627507453,308.663405135,1.288370044,1.515438337,5.39
4,1009260300.27,34.63991830,127.78732555,27.486432159,308.496316584,1.755147727,1.565126689,5.38
5,1009270300.42,34.63999631,127.78720823,25.482481155,309.326145495,0.758315235,1.475846718,5.40
6,1009280300.25,34.64006581,127.78710731,21.017269477,309.429329453,1.117107551,1.112730689,5.40
7,1009290300.40,34.64012002,127.78702676,15.983867369,308.476826268,1.653301225,0.826136015,5.38
8,1009300300.25,34.64015943,127.78696770,11.442528865,308.281648935,1.941348857,1.070919462,5.38
9,1009310300.34,34.64018879,127.78692239,9.479929434,307.615202268,1.657919528,1.088857148,5.37
10,1009320300.49,34.64021148,127.78688110,8.747904727,302.466370410,1.138030899,1.154595828,5.28
11,1009330300.14,34.64022985,127.78683619,9.468381248,294.666368166,0.274114003,0.935672075,5.14
12,1009340300.69,34.64024401,127.78678060,11.307796314,284.698832289,-0.396186390,0.882303841,4.97
13,1009350300.14,34.64025043,127.78671159,13.333290215,271.611668232,-0.665957893,1.775749666,4.74
14,1009360300.60,34.64024087,127.78662976,15.690477249,256.687207266,-2.116586818,0.283941940,4.48
15,1009370300.23,34.64021299,127.78653873,18.727111791,247.547618179,-3.205161342,-0.584145563,4.32
16,1009380300.55,34.64017333,127.78643253,22.585561226,243.596692218,0.204533662,-1.261516041,4.25
17,1009390300.18,34.64012172,127.78631111,25.561997636,242.202638821,0.939183538,-0.773067464,4.23
18,1009400300.57,34.64006610,127.78617980,26.654117398,241.922605296,1.589120962,-0.291210644,4.22
19,1009410300.22,34.64001201,127.78604596,26.517014776,245.713093542,1.874651919,0.018207050,4.29
20,1009420300.62,34.63996945,127.78590772,26.038760982,252.959604812,2.290155338,0.230379124,4.41
21,1009430300.10,34.63995022,127.78576563,25.314878122,267.317298607,2.785974291,0.846970868,4.67
22,1009440300.44,34.63996050,127.78562633,24.223420163,280.603071643,3.271148202,0.652790903,4.90
23,1009450300.27,34.63999065,127.78549831,23.087829019,289.432215102,3.255275579,1.193298811,5.05
24,1009460300.72,34.64003109,127.78538262,21.715527394,295.935911025,2.620775769,1.980101603,5.17
25,1009470300.12,34.64008235,127.78528281,20.208292081,304.908265423,2.108123492,1.675289594,5.32
26,1009480300.71,34.64014036,127.78519937,18.690857215,312.628266803,1.348793909,1.133319027,5.46
27,1009490300.21,34.64019547,127.78512876,15.547244143,311.981020149,0.137491251,-0.234904826,5.45
28,1009500300.80,34.64022957,127.78506370,13.298299923,295.185038949,0.329870073,-1.802039960,5.15
29,1009510300.22,34.64023984,127.78499148,13.712952026,272.147717863,1.852315758,-2.504006169,4.75
30,1009520300.57,34.64022195,127.78491091,16.403435723,248.065982976,3.319730904,-2.074822884,4.33
31,1009530300.52,34.64017354,127.78482918,19.539906141,228.945442583,3.485351691,-1.484012142,4.00
32,1009540300.11,34.64010452,127.78474216,22.676513739,226.331195427,2.804905826,-1.405081946,3.95
33,1009550300.75,34.64003424,127.78464738,22.627712709,230.593938254,2.032398910,-1.561707738,4.02
34,1009560300.20,34.63997426,127.78454494,21.949868731,237.275276407,1.916231739,-1.554767187,4.14
35,1009570300.73,34.63992602,127.78444652,18.972464643,238.091887546,2.720477605,-1.542204749,4.16
36,1009580300.37,34.63988281,127.78436460,15.758604042,235.322940109,2.648017022,-1.367377083,4.11
37,1009590300.40,34.63984650,127.78430107,12.274434866,233.689345010,2.518920564,-1.199264082,4.08
38,1010000300.25,34.63981784,127.78425471,8.728667019,232.811693023,2.496369457,-1.107739535,4.06
20210908,100923
