num,A,Lat,Lng,B,C,D,E,F
1,2054513270.13,35.16269427,126.91490405,7.487830175,107.511096678,1.434669611,1.278784912,1.88
2,2054523270.67,35.16268258,126.91494883,9.331662361,107.641964660,1.306806821,1.522474221,1.88
3,2054533270.40,35.16266767,126.91500607,11.881095790,107.665701439,1.136892674,1.166305417,1.88
4,2054543270.47,35.16264953,126.91507588,14.072846872,107.838163937,0.675363310,0.843167794,1.88
5,2054553270.13,35.16262862,126.91515593,15.846681326,107.757315115,0.945199479,0.955744598,1.88
6,2054563270.51,35.16260467,126.91524676,17.887889807,107.967180156,1.114501675,0.720166624,1.88
7,2054573270.17,35.16257752,126.91534776,19.640598468,107.989803633,1.256263557,0.664052632,1.88
8,2054583270.48,35.16254810,126.91545646,20.797815929,107.914944707,1.923256829,0.531926352,1.88
9,2054593270.35,35.16251769,126.91557146,21.707274319,107.757690196,2.116443724,0.459734578,1.88
10,2055003270.58,35.16248633,126.91569124,22.508673420,107.657704048,2.005754115,0.912151541,1.88
11,2055013270.38,35.16245422,126.91581429,23.006922196,107.737208501,1.576048496,1.150596701,1.88
12,2055023270.51,35.16242142,126.91593969,23.423648690,107.583772916,1.592582238,1.118379022,1.88
13,2055033270.40,35.16238837,126.91606754,23.855943315,107.377659780,1.336350122,1.043970415,1.87
14,2055043270.57,35.16235470,126.91619737,24.304610616,107.360086708,1.618784788,1.073708204,1.87
15,2055053270.07,35.16232052,126.91632886,24.579740901,107.433738298,0.775154517,1.008112550,1.88
16,2055063270.71,35.16228574,126.91646202,24.991545582,107.468896057,0.926750147,1.312245107,1.88
17,2055073270.10,35.16225002,126.91659738,25.374399620,107.468902578,0.902272196,0.901207817,1.88
18,2055083270.76,35.16221457,126.91673558,25.982111005,107.143476484,0.742098051,0.903349554,1.87
19,2055093270.31,35.16217795,126.91687794,26.805134569,107.197038852,0.912050528,-0.257494907,1.87
20,2055103270.65,35.16214017,126.91702379,27.411733680,107.039182604,1.735933590,0.129192624,1.87
21,2055113270.30,35.16210248,126.91717333,28.054086843,107.125815355,1.529589335,-0.089533796,1.87
22,2055123270.72,35.16206318,126.91732543,28.620130583,107.538527721,1.578219031,0.070099424,1.88
23,2055133270.32,35.16202225,126.91747994,28.965154323,107.944537962,1.054129257,0.255222486,1.88
24,2055143270.75,35.16198010,126.91763642,29.444520391,108.156858215,1.443150283,0.517379077,1.89
25,2055153270.13,35.16193694,126.91779487,29.653221955,108.130679447,1.632061869,0.162863346,1.89
26,2055163270.67,35.16189463,126.91795280,29.137972068,107.747702424,1.336002495,-0.105414494,1.88
27,2055173270.29,35.16185410,126.91810752,28.556729102,107.663772846,0.910455063,-0.116519122,1.88
28,2055183270.71,35.16181436,126.91826117,28.216247148,107.570158402,0.621844425,0.156127372,1.88
29,2055193270.35,35.16177541,126.91841210,27.993504977,107.592780714,1.052770963,0.135659044,1.88
30,2055203270.42,35.16173668,126.91856244,27.877060994,107.617952432,1.385016072,-0.031077720,1.88
31,2055213270.45,35.16169770,126.91871312,28.215639105,107.655335461,1.143392177,0.364769607,1.88
32,2055223270.67,35.16165722,126.91886709,28.855552680,107.598031869,0.890873055,0.332833838,1.88
33,2055233270.20,35.16161601,126.91902365,29.295147531,107.537956687,1.043881991,0.356952310,1.88
34,2055243270.62,35.16157429,126.91918128,29.020654950,107.664866597,1.442275827,0.283720693,1.88
35,2055253270.25,35.16153398,126.91933489,27.705791163,107.531480287,1.634411292,0.221688017,1.88
36,2055263270.77,35.16149677,126.91947848,25.778611176,107.715346653,1.347055779,0.406338425,1.88
37,2055273270.34,35.16146096,126.91961386,24.588249798,108.026203568,1.476762401,0.485178713,1.89
38,2055283270.54,35.16142516,126.91974282,23.513446292,108.130936254,1.828225681,0.756895504,1.89
39,2055293270.43,35.16139044,126.91986648,22.277596608,107.986918772,1.693285205,0.455057398,1.88
40,2055303270.53,35.16135994,126.91998137,20.247607265,107.597500238,2.008763294,1.036398003,1.88
41,2055313270.44,35.16133377,126.92008375,17.584756166,107.300499372,1.254926670,1.295725685,1.87
42,2055323270.39,35.16131248,126.92017367,15.638643419,106.362055929,2.171993834,1.897486844,1.86
43,2055333270.67,35.16129379,126.92025386,13.902223087,105.543965783,1.705099368,2.413762303,1.84
44,2055343270.25,35.16127747,126.92032792,13.373110557,104.875382667,1.315228838,2.570103066,1.83
45,2055353270.80,35.16126140,126.92040252,13.843514476,104.626276581,1.314569451,1.854542096,1.83
46,2055363270.25,35.16124476,126.92047921,14.104592104,104.733591064,0.664957238,1.118245496,1.83
47,2055373270.96,35.16122687,126.92055779,14.539583993,104.681940381,0.721328277,1.956791802,1.83
48,2055383270.44,35.16120951,126.92063765,14.892382530,104.497379975,0.821204700,1.582002886,1.82
49,2055393270.61,35.16119146,126.92071941,15.171428947,104.344079343,1.677872120,2.595010191,1.82
50,2055403270.36,35.16117256,126.92080258,15.353514717,104.503305452,2.611742322,3.394474447,1.82
51,2055413270.73,35.16115438,126.92088668,15.335328107,104.696543924,1.825435541,3.288747108,1.83
52,2055423270.38,35.16113604,126.92096943,14.642498088,105.055549054,1.710634558,2.863233742,1.83
53,2055433270.61,35.16111882,126.92104560,13.282372157,105.284044293,1.450683444,2.909496121,1.84
54,2055443270.47,35.16110348,126.92111423,11.956784193,104.780220866,1.553964194,2.663428381,1.83
55,2055453270.60,35.16108943,126.92117643,10.832280569,104.943804972,1.873986569,2.250431971,1.83
56,2055463270.64,35.16107704,126.92123270,9.787001453,105.223803446,1.774739231,2.305542284,1.84
57,2055473270.35,35.16106538,126.92128363,8.983784711,105.642681389,1.890996702,2.197399297,1.84
58,2055483270.66,35.16105433,126.92133054,8.282477309,105.964165872,1.851047027,2.234473271,1.85
59,2055493270.31,35.16104399,126.92137466,8.057538396,105.671224491,1.797315517,2.650611916,1.84
60,2055503270.64,35.16103385,126.92142054,8.692861986,105.330893631,1.434877822,2.596898171,1.84
61,2055513270.46,35.16102305,126.92146981,9.263804367,104.749494145,1.923998480,2.587352335,1.83
62,2055523270.58,35.16101186,126.92152144,9.391017018,104.363685515,2.310465549,2.612362488,1.82
63,2055533270.55,35.16100114,126.92157184,8.752275038,104.547795985,2.387899127,2.426680153,1.82
64,2055543270.51,35.16099113,126.92161790,8.101027389,104.993424431,2.344369959,2.472727004,1.83
65,2055553270.49,35.16098138,126.92166244,8.371107022,105.329017883,2.246452080,2.642888328,1.84
66,2055563270.59,35.16097064,126.92170911,8.645560673,105.526902832,2.009980481,2.682785928,1.84
67,2055573270.55,35.16095924,126.92175803,9.224862722,105.625720495,1.982526632,2.734278016,1.84
68,2055583270.56,35.16094715,126.92181023,9.534209341,105.603014802,1.986743405,2.209474365,1.84
69,2055593270.66,35.16093589,126.92185974,8.641349789,105.568995020,1.570467755,2.412499163,1.84
70,2056003270.46,35.16092560,126.92190519,8.013961347,105.314654949,1.606925241,2.153194394,1.84
71,2056013270.80,35.16091556,126.92195012,8.506626507,104.957785775,1.497350619,2.354341770,1.83
72,2056023270.35,35.16090556,126.92199715,8.340918047,104.457393875,1.480014508,1.917471651,1.82
73,2056033270.96,35.16089607,126.92204134,7.777171153,104.362060620,1.688751179,1.725297542,1.82
74,2056043270.36,35.16088642,126.92208646,9.109016586,104.408543408,1.582197932,1.820290287,1.82
75,2056053270.82,35.16087485,126.92214011,10.101550734,104.556607376,1.542262410,1.255697902,1.82
76,2056063270.42,35.16086232,126.92219612,10.663255678,104.990104229,1.644752529,1.126790971,1.83
77,2056073270.72,35.16084861,126.92225620,10.971441825,105.339657591,1.364009511,0.865352634,1.84
78,2056083270.65,35.16083524,126.92231548,10.602322519,105.061138264,1.700179499,0.528496193,1.83
