num,A,Lat,Lng,B,C,D,E,F
1,1022567320.35,34.66467265,127.79025513,21.584056587,36.803586747,0.941185589,-1.413813740,0.64
2,1022577320.01,34.66475537,127.79032884,22.818067311,35.359878935,1.092681600,-1.628731535,0.62
3,1022587320.25,34.66484255,127.79040440,23.260670864,35.347013050,1.814251158,-1.654533446,0.62
4,1022597310.80,34.66492910,127.79048079,23.101880749,36.147471724,1.137853121,-1.203967741,0.63
5,1023007320.37,34.66501535,127.79055747,22.771824512,36.165170968,0.461823046,-1.111665007,0.63
6,1023017310.99,34.66509953,127.79063281,22.482253201,36.046872841,1.302878109,-1.145073483,0.63
7,1023027320.23,34.66518286,127.79070654,21.754262342,36.115665337,-0.546283151,-0.614674304,0.63
8,1023037320.18,34.66526539,127.79077285,20.602656303,30.485134715,-0.523833866,-1.312495397,0.53
9,1023047320.17,34.66534787,127.79081891,18.336840738,20.451387884,0.291799758,-1.952223550,0.36
10,1023057320.20,34.66542630,127.79084182,16.654583523,8.738025078,1.009344035,-1.102886453,0.15
11,1023067320.07,34.66550079,127.79084234,15.670504513,355.458108199,2.052269484,-1.093770150,6.20
12,1023077320.33,34.66556996,127.79082039,15.473602324,341.052699031,1.329729115,-0.454374614,5.95
13,1023087320.11,34.66563424,127.79077888,16.255041665,328.662875540,0.480918169,-0.439136773,5.74
14,1023097310.94,34.66569851,127.79072591,17.317691723,324.907817651,0.150252526,-1.722164931,5.67
15,1023107320.40,34.66576470,127.79066770,17.627962456,323.425679692,-0.247651299,-3.122107745,5.64
16,1023117320.10,34.66583073,127.79060998,17.650636165,323.044119686,0.420771242,-3.784187759,5.64
17,1023127320.44,34.66589387,127.79055790,14.922735565,325.811986990,1.283179077,-3.988172379,5.69
18,1023137310.97,34.66594594,127.79051969,11.786700788,329.505059680,1.221037474,-4.392591332,5.75
19,1023147320.32,34.66598782,127.79049158,9.620519963,331.139405900,1.071283843,-3.905479284,5.78
20,1023157320.01,34.66602773,127.79046559,10.300236269,331.523615896,1.433785419,-3.643222881,5.79
21,1023167320.26,34.66607083,127.79043793,10.804825008,331.693063167,1.881075643,-2.960728786,5.79
22,1023177320.08,34.66611654,127.79040820,11.261185538,331.604811993,1.748008411,-2.218317184,5.79
23,1023187320.27,34.66616713,127.79037608,12.876607125,332.308932494,2.094865926,-2.029214737,5.80
24,1023197320.08,34.66622127,127.79034227,13.123479157,333.155714497,1.584527172,-1.934853838,5.81
25,1023207320.23,34.66627684,127.79030873,13.029410423,334.066532006,1.306098056,-0.800447203,5.83
26,1023217320.16,34.66633511,127.79027501,14.846289888,334.813250244,1.679970958,-1.342228340,5.84
27,1023227320.18,34.66640299,127.79023665,17.327184983,335.417116232,1.337738660,-2.127212224,5.85
28,1023237320.07,34.66648292,127.79019221,20.214795177,336.138638691,0.424846067,-2.002843478,5.87
29,1023247320.22,34.66657413,127.79014503,22.075603911,337.027030331,0.777680489,-2.003723300,5.88
30,1023257320.03,34.66667302,127.79009674,23.933452141,338.219670202,1.955450466,-1.794999048,5.90
31,1023267320.12,34.66677717,127.79004829,24.339769603,339.169633053,1.734110036,-2.554293639,5.92
32,1023277320.24,34.66688347,127.79000075,24.169354370,339.479210757,1.377076664,-2.439826178,5.93
20210908,102256
