num,A,Lat,Lng,B,C,D,E,F
1,1625139770.23,34.96201914,127.26653601,42.003321125,357.773758658,1.854250968,-2.221226070,6.24
2,1625149770.53,34.96221582,127.26652693,43.009106166,357.633979608,2.041806142,-1.837388341,6.24
3,1625159770.29,34.96241785,127.26651987,43.664254190,358.686601759,1.230365423,-2.306599573,6.26
4,1625169770.48,34.96262118,127.26651642,43.803722248,359.450878684,1.461823111,-2.445821427,6.27
5,1625179770.29,34.96282509,127.26651894,43.783122930,1.292862825,1.634110005,-2.356435326,0.02
6,1625189770.34,34.96302785,127.26653016,43.601106678,3.642150413,1.917152618,-2.085083680,0.06
7,1625199770.70,34.96322853,127.26655198,43.323323619,5.574223854,2.237442498,-1.600570607,0.10
8,1625209770.22,34.96342731,127.26658076,42.940256395,7.466246997,2.170809164,-1.418455669,0.13
9,1625219770.63,34.96362317,127.26661737,42.501334469,9.423848206,2.181877149,-1.310871198,0.16
10,1625229770.26,34.96381595,127.26666109,42.027969120,11.115712527,2.222493159,-0.914068007,0.19
11,1625239770.64,34.96400518,127.26671073,41.473155642,12.689543797,2.189322413,-0.591254083,0.22
12,1625249770.31,34.96419025,127.26676596,40.721221227,14.251414427,2.235915229,-0.374459488,0.25
13,1625259770.47,34.96437118,127.26682597,40.096975887,16.102334135,2.230305751,0.123192543,0.28
14,1625269770.18,34.96454691,127.26689287,39.307861855,18.186357214,2.358694049,0.132144646,0.32
15,1625279770.58,34.96471647,127.26696596,38.261504760,20.387317045,2.548188760,0.157081983,0.36
16,1625289770.19,34.96487791,127.26704494,36.845620525,22.819690713,2.978634737,0.234632170,0.40
17,1625299770.68,34.96503080,127.26712871,35.642833190,25.221465141,2.539976915,0.709966249,0.44
18,1625309770.18,34.96517628,127.26721593,34.293474073,26.556815816,2.608808335,0.652183361,0.46
19,1625319770.63,34.96531431,127.26730340,32.824808722,27.745215632,3.077883322,1.240016130,0.48
20,1625329770.18,34.96544540,127.26739052,31.616982785,29.021455790,2.501604364,1.675190708,0.51
21,1625339770.66,34.96557040,127.26747774,30.500118631,30.606004073,1.725702266,1.840753208,0.53
22,1625349770.29,34.96568755,127.26756689,29.168696789,33.021884692,1.767272346,1.598877974,0.58
23,1625359770.56,34.96579697,127.26765830,27.870083327,35.419095153,1.998383618,1.662286702,0.62
24,1625369770.38,34.96589889,127.26775031,26.584943213,37.269851288,1.632152176,0.857585731,0.65
25,1625379770.51,34.96599349,127.26784055,25.158668484,38.520032350,1.241196589,0.374721317,0.67
26,1625389770.42,34.96608205,127.26792870,24.144765695,39.412802757,1.145914963,-0.441027147,0.69
27,1625399770.47,34.96616561,127.26801423,22.813436543,40.069103787,1.125833182,-1.272273709,0.70
28,1625409770.41,34.96624306,127.26809437,21.118723711,40.291752075,1.148807133,-2.038126987,0.70
29,1625419770.36,34.96631492,127.26816778,19.426383731,38.899090594,1.437525565,-2.420083577,0.68
30,1625429770.70,34.96638342,127.26822821,16.988250944,33.139070772,1.794989412,-2.258316114,0.58
31,1625439770.27,34.96644855,127.26826840,14.769048935,23.074701112,1.720029039,-3.250783435,0.40
32,1625449770.75,34.96651253,127.26828387,13.764212108,6.046341081,0.393310471,-3.126360835,0.11
33,1625459770.53,34.96657431,127.26827223,13.447184309,345.885688340,-0.342003419,-2.244776558,6.04
34,1625469770.41,34.96662928,127.26823518,14.040832840,324.844041957,0.051634084,-2.035632503,5.67
35,1625479770.51,34.96667681,127.26817606,15.516990286,310.655461695,1.363628808,-1.854064355,5.42
36,1625489770.49,34.96672046,127.26810084,17.238416235,302.558901257,1.286728264,-1.544017421,5.28
37,1625499770.32,34.96676369,127.26801398,18.927063465,300.401139541,1.923684902,-1.272852354,5.24
38,1625509770.73,34.96680817,127.26791662,20.749693387,299.213344564,-0.000510740,-0.960824561,5.22
39,1625519770.18,34.96685545,127.26781137,22.122873709,297.423004838,0.002161609,-1.776526706,5.19
40,1625529770.80,34.96689966,127.26769319,23.705250557,291.176633893,1.845380203,-2.734799405,5.08
