num,A,Lat,Lng,B,C,D,E,F
1,0909227220.33,34.59190556,127.73294144,38.501607677,208.405226376,2.705009206,-1.285937342,3.64
2,0909237220.40,34.59175099,127.73283451,38.234368977,210.352155296,2.720525343,-1.377016207,3.67
3,0909247220.27,34.59160119,127.73272117,37.891525295,213.028761817,2.623459709,-1.499220716,3.72
4,0909257220.35,34.59145642,127.73260067,37.912621428,215.379092843,2.684324861,-1.550559394,3.76
5,0909267220.43,34.59131583,127.73247381,37.751719847,217.407818151,2.404217887,-1.646388674,3.79
6,0909277220.24,34.59117969,127.73234163,37.412776539,219.451667527,2.446540362,-1.761477206,3.83
7,0909287220.35,34.59104843,127.73220507,37.358771920,221.226572691,2.510406109,-1.652151844,3.86
8,0909297220.34,34.59092060,127.73206325,37.588816172,223.430608866,2.294933223,-1.533868105,3.90
9,0909307220.12,34.59079671,127.73191365,37.869090725,225.700330202,2.357864140,-1.587933152,3.94
10,0909317220.68,34.59067700,127.73175789,37.970437440,228.018012510,1.900376358,-1.545478068,3.98
11,0909327220.32,34.59056224,127.73159637,37.947061144,229.945712339,1.241863107,-1.709979044,4.01
12,0909337220.55,34.59045142,127.73143137,37.751831074,231.082487539,1.319015200,-1.701636578,4.03
13,0909347220.17,34.59034235,127.73126658,37.439500780,230.679371297,1.221414765,-1.745727429,4.03
14,0909357220.66,34.59023193,127.73110602,37.026828525,229.514389817,0.155009735,-1.467079417,4.01
15,0909367220.16,34.59012035,127.73094968,36.642956756,228.615028725,-0.941724469,-1.121260039,3.99
16,0909377220.65,34.59000586,127.73079770,36.593872097,226.444049462,-1.423226380,-1.024321848,3.95
17,0909387220.13,34.58988604,127.73065156,36.843095662,224.015021286,-2.157311038,-0.711108863,3.91
18,0909397220.67,34.58975994,127.73051105,37.124615962,221.379150914,-2.097832018,-0.267023549,3.86
19,0909407220.12,34.58962791,127.73037694,37.109388929,218.281150393,-1.818756086,-0.087395229,3.81
20,0909417220.63,34.58949029,127.73025075,37.365082223,216.114982229,-1.485119505,0.226745632,3.77
21,0909427220.23,34.58934872,127.73013077,37.225083980,213.547971321,-1.468264052,0.467008992,3.73
22,0909437220.69,34.58920360,127.73002138,36.817194504,210.323551756,-1.690278838,0.768257576,3.67
23,0909447220.20,34.58905462,127.72992172,36.626928885,207.583667370,-1.997831542,0.984588059,3.62
24,0909457220.56,34.58890275,127.72983072,36.515846064,204.932959649,-1.464514207,1.447325249,3.58
25,0909467220.35,34.58874823,127.72974961,36.212621587,202.010701493,-1.760972486,1.595979421,3.53
26,0909477220.30,34.58859159,127.72967684,36.078577719,199.737988590,-2.016838040,1.944908405,3.49
27,0909487220.67,34.58843380,127.72961212,35.835790513,197.189601692,-1.126801068,2.085481481,3.44
20210908,90922
