1,2054126540.47,34.74876631,127.74514865,15.506455196,166.700423015,-0.185328911,-0.114885293,2.91
2,2054136540.75,34.74869664,127.74516076,14.759164526,174.360548515,0.029845061,-1.166196243,3.04
3,2054146540.38,34.74862925,127.74516000,14.347393213,181.735119172,0.769562803,-0.019397110,3.17
4,2054156540.66,34.74856312,127.74515523,14.023805777,182.973733057,1.472326577,0.226169273,3.19
5,2054166540.44,34.74849938,127.74515062,13.391552990,181.644845381,2.197646690,0.426808944,3.17
6,2054176540.78,34.74843842,127.74515480,12.696357534,172.944305756,2.839431977,-0.003605606,3.02
7,2054186540.53,34.74838391,127.74517315,11.516570176,159.927283020,2.532682391,-0.085315322,2.79
8,2054196540.49,34.74833869,127.74520436,10.998640636,146.497249271,2.689561814,-0.571934855,2.56
9,2054206540.91,34.74830417,127.74524885,10.888120440,128.538753469,2.797972517,-0.267308739,2.24
10,2054216540.72,34.74827974,127.74530633,12.513178955,114.531829756,2.749287571,-0.014401931,2.00
11,2054226540.22,34.74825569,127.74537673,14.466658664,112.794215168,1.363978559,0.277001661,1.97
12,2054236540.73,34.74822727,127.74545324,15.480206452,115.636242732,0.769949484,0.470047751,2.02
13,2054246540.57,34.74819102,127.74553440,17.138643388,119.787106919,0.964490603,-0.138292078,2.09
14,2054256540.41,34.74814410,127.74561437,17.985445521,128.629718141,0.601494911,0.220450266,2.25
15,2054266540.89,34.74808325,127.74569089,19.756530804,136.146427767,1.080742214,0.154143522,2.38
16,2054276540.28,34.74800865,127.74576441,21.674276852,142.310723568,2.437646490,0.350935078,2.48
17,2054286550.12,34.74792601,127.74583908,22.779586332,143.072810492,1.848828934,0.234967629,2.50
18,2054296540.29,34.74784024,127.74591430,23.035079417,143.892541537,1.943336959,0.057882703,2.51
19,2054306540.92,34.74775248,127.74599101,23.331185338,143.920515905,1.918503609,-0.328147197,2.51
20,2054316540.28,34.74766379,127.74606914,24.275973264,143.719595642,1.904937602,0.001351704,2.51
21,2054326540.86,34.74757024,127.74615253,25.441775628,143.546620836,1.592544682,-0.014516854,2.51
22,2054336540.26,34.74747379,127.74623774,25.538982829,144.004903696,1.610795391,-0.444220914,2.51
23,2054346540.86,34.74737862,127.74632052,24.971938042,144.290784497,1.967106177,-0.740170592,2.52
24,2054356540.41,34.74728508,127.74640074,24.439889108,144.597657491,2.172126964,-0.956362456,2.52
25,2054366540.92,34.74719322,127.74647869,23.908374066,144.889036053,2.010763647,-1.110669938,2.53
26,2054376540.19,34.74710243,127.74655300,23.383838544,146.277925729,1.939952872,-0.707756615,2.55
27,2054386540.89,34.74701165,127.74662452,23.474652022,147.061235116,1.818349667,-0.672412319,2.57
28,2054396540.39,34.74691953,127.74669602,23.733548666,147.023144781,1.788902806,-0.661906556,2.57
29,2054406540.79,34.74682528,127.74677053,24.246099433,146.418274806,1.595014445,-0.748132285,2.56
30,2054416540.53,34.74673070,127.74684695,25.024861901,145.846937001,1.626298932,-0.617811237,2.55
31,2054426540.73,34.74663396,127.74692751,25.597633046,145.232637541,0.874169081,-0.410179635,2.53
32,2054436540.74,34.74653667,127.74701077,25.393927447,143.870463696,1.449695509,-0.246412105,2.51
33,2054446540.53,34.74644173,127.74709448,25.076282336,143.549475879,1.439396776,-0.445255846,2.51
34,2054456540.93,34.74634941,127.74717679,24.423266171,143.265232367,1.415770565,-0.047235500,2.50
35,2054466540.32,34.74625845,127.74725940,24.911595315,142.894813346,1.080399040,-0.301355403,2.49
36,2054476550.01,34.74616459,127.74734495,25.433605974,142.559313841,1.966195143,-1.135514870,2.49
37,2054486540.38,34.74607215,127.74743208,25.118422697,141.544458293,1.150180690,-1.549900086,2.47
38,2054496540.97,34.74598166,127.74751977,24.952612279,141.072876802,1.082212324,-2.296945785,2.46
39,2054506540.33,34.74589156,127.74760610,24.713369520,141.689689620,1.036446065,-2.085643828,2.47
40,2054516540.90,34.74580289,127.74769023,23.772843458,142.132788839,-0.851113065,-1.891329703,2.48
41,2054526540.44,34.74571777,127.74776837,22.718489112,142.614947960,0.350089477,-2.257698678,2.49
42,2054536540.84,34.74563430,127.74784329,22.237817976,143.343984193,0.485747434,-1.530901100,2.50
43,2054546540.46,34.74555210,127.74791609,21.889472243,143.492941965,1.123410983,-1.109037569,2.50
44,2054556550.03,34.74546865,127.74799042,22.615385004,143.839714657,-0.050535207,-0.918846354,2.51
45,2054566540.43,34.74538461,127.74806349,21.918074374,144.210181823,0.087974109,-0.633752678,2.52
46,2054576540.84,34.74530330,127.74813306,21.023457429,144.048197448,1.532880457,0.101951602,2.51
47,2054586540.45,34.74522584,127.74820068,20.156452690,143.766141546,1.488990635,0.333646563,2.51
48,2054596540.84,34.74515138,127.74826643,19.793373032,143.826555230,1.114230278,0.118100554,2.51
49,2055006540.51,34.74507622,127.74833339,20.007508056,143.435446065,0.884229545,0.098023091,2.50
50,2055016540.83,34.74500308,127.74839875,18.920441726,143.446954057,1.146037063,0.153804768,2.50
51,2055026540.54,34.74493439,127.74845941,17.722223985,143.838627585,1.787917776,0.191030917,2.51
52,2055036540.74,34.74486829,127.74851731,18.079771932,144.196279812,1.715605391,0.786820499,2.52
53,2055046540.66,34.74479583,127.74857968,20.284136203,144.704212730,1.737335606,0.695557538,2.53
54,2055056540.86,34.74471494,127.74864821,22.122745798,144.968185220,1.391634929,0.618353610,2.53
55,2055066540.54,34.74462690,127.74872314,24.111794181,144.797735348,0.870906530,0.580244889,2.53
56,2055076540.77,34.74453120,127.74880238,25.988840264,145.909459527,0.989117898,0.583422839,2.55
